"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_faceless_dash_Description"                                  ""
		"DOTA_Tooltip_ability_faceless_dash_speed"                                        "SPEED:"
		"DOTA_Tooltip_ability_faceless_dash_radius"                                       "RADIUS:"
		"DOTA_Tooltip_ability_faceless_dash_duration"                                     "DURATION:"
		"DOTA_Tooltip_ability_faceless_dash_movement_speed_pct"                           "MOVEMENT SPEED PCT:"
		"DOTA_Tooltip_ability_faceless_dash_attack_speed_pct"                             "ATTACK SPEED PCT:"
		"DOTA_Tooltip_ability_faceless_dash_tooltip_range"                                "TOOLTIP RANGE:"

		"DOTA_Tooltip_ability_skill_herospirit_mini_boss_skill"                           "DaShinGO Rage"
		"DOTA_Tooltip_ability_skill_herospirit_mini_boss_skill_Description"               ""
		"DOTA_Tooltip_ability_skill_herospirit_mini_boss_skill_duration"                  "DURATION:"
		"DOTA_Tooltip_ability_skill_herospirit_mini_boss_skill_damage"                    "DAMAGE:"
		"DOTA_Tooltip_ability_skill_herospirit_mini_boss_skill_movespeed_loss"            "MOVESPEED LOSS:"
		"DOTA_Tooltip_ability_skill_herospirit_mini_boss_skill_miss_chance"               "MISS CHANCE:"

		"DOTA_Tooltip_ability_lordofdeath_boss_aoe_explosion"                             "Lordofdeath Boss Aoe Explosion"
		"DOTA_Tooltip_ability_lordofdeath_boss_aoe_explosion_Description"                 ""
		"DOTA_Tooltip_ability_lordofdeath_boss_aoe_explosion_explosion_aoe"               "EXPLOSION AOE:"
		"DOTA_Tooltip_ability_lordofdeath_boss_aoe_explosion_duration"                    "DURATION:"
		"DOTA_Tooltip_ability_lordofdeath_boss_aoe_explosion_damage"                      "DAMAGE:"

		"DOTA_Tooltip_ability_skill_lordofdeath_boss_dive"                                "Lord of death Fire Dive"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_dive_Description"                    ""
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_dive_duration"                       "DURATION:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_dive_damage"                         "DAMAGE:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_dive_movespeed_loss"                 "MOVESPEED LOSS:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_dive_miss_chance"                    "MISS CHANCE:"

		"DOTA_Tooltip_ability_skill_lordofdeath_boss_mobs"                                "Lord of death Adds"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_mobs_Description"                    ""
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_mobs_duration"                       "DURATION:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_mobs_damage"                         "DAMAGE:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_mobs_movespeed_loss"                 "MOVESPEED LOSS:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_mobs_miss_chance"                    "MISS CHANCE:"

		"DOTA_Tooltip_ability_skill_lordofdeath_boss_skill"                               "Lord of Death FIRE-MADE"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_skill_Description"                   ""
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_skill_duration"                      "DURATION:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_skill_damage"                        "DAMAGE:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_skill_movespeed_loss"                "MOVESPEED LOSS:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_skill_miss_chance"                   "MISS CHANCE:"

		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy"                      	"Lordofdeath Splitter"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_Description"          	""
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_arrow_speed"          	"ARROW SPEED:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_arrow_width"          	"ARROW WIDTH:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_arrow_range"          	"ARROW RANGE:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_arrow_max_stunrange"	"ARROW MAX STUNRANGE:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_arrow_min_stun"       	"ARROW MIN STUN:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_arrow_max_stun"       	"ARROW MAX STUN:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_arrow_bonus_damage"   	"ARROW BONUS DAMAGE:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_arrow_vision"         	"ARROW VISION:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_arrow_max_damagerange"	"ARROW MAX DAMAGERANGE:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_vision_duration"      	"VISION DURATION:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_damage_per_tick"      	"DAMAGE PER TICK:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_number_of_targets"    	"NUMBER OF TARGETS:"
		"DOTA_Tooltip_ability_skill_lordofdeath_boss_splitter_dummy_movespeed_reduction"	"MOVESPEED REDUCTION:"

		"DOTA_Tooltip_ability_skill_lordofdeath_splitter"                                 "Lord of death Earth Splitter"
		"DOTA_Tooltip_ability_skill_lordofdeath_splitter_Description"                     ""
		"DOTA_Tooltip_ability_skill_lordofdeath_splitter_duration"                        "DURATION:"
		"DOTA_Tooltip_ability_skill_lordofdeath_splitter_damage"                          "DAMAGE:"
		"DOTA_Tooltip_ability_skill_lordofdeath_splitter_movespeed_loss"                  "MOVESPEED LOSS:"
		"DOTA_Tooltip_ability_skill_lordofdeath_splitter_miss_chance"                     "MISS CHANCE:"

		"DOTA_Tooltip_ability_skill_on_death_creep"                                       "Skill On Death Creep"
		"DOTA_Tooltip_ability_skill_on_death_creep_Description"                           ""
		// Invoker
		// ************************************************************************************************************************
		"DOTA_Tooltip_ability_aa_invoker_sun_strike"									"Sun Strike"
		"DOTA_Tooltip_ability_aa_invoker_sun_strike_Description"						"Sends a catastrophic ray of fierce energy from the sun at any targeted location, incinerating all enemies standing beneath it once it reaches the earth. Deals damage based on the level of <font color='#cabe68'>Exort</font>, however this damage is spread evenly over all enemies hit."
		"DOTA_Tooltip_ability_aa_invoker_sun_strike_Lore"								"Harlek's Incantation of Incineration."
		"DOTA_Tooltip_ability_aa_invoker_sun_strike_Note0"								"Gives vision of the target area before the strike."
		"DOTA_Tooltip_ability_aa_invoker_sun_strike_Note1"								"Invoker gains experience with kills made from Sun Strike, even if made from outside of experience range."
		"DOTA_Tooltip_ability_aa_invoker_sun_strike_area_of_effect"						"RADIUS:"
		"DOTA_Tooltip_ability_aa_invoker_sun_strike_delay"								"DELAY:"
		"DOTA_Tooltip_ability_aa_invoker_sun_strike_damage"								"DAMAGE (<font color='#cabe68'>EXORT</font>):\n"

		"DOTA_Tooltip_ability_skill_invoker_tornado"                                    "Skill Invoker Tornado"
		"DOTA_Tooltip_ability_skill_invoker_tornado_Description"                        ""
		"DOTA_Tooltip_ability_skill_invoker_tornado_travel_distance"                    "TRAVEL DISTANCE:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_levelkey"                           "LEVELKEY:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_travel_speed"                       "TRAVEL SPEED:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_area_of_effect"                     "AREA OF EFFECT:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_vision_distance"                    "VISION DISTANCE:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_end_vision_duration"                "END VISION DURATION:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_lift_duration"                      "LIFT DURATION:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_levelkey"                           "LEVELKEY:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_base_damage"                        "BASE DAMAGE:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_quas_damage"                        "QUAS DAMAGE:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_levelkey"                           "LEVELKEY:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_wex_damage"                         "WEX DAMAGE:"
		"DOTA_Tooltip_ability_skill_invoker_tornado_levelkey"                           "LEVELKEY:"
		
		
		
		// Ability Modifiers
		// ************************************************************************************************************************
		"DOTA_Tooltip_Invulnerable"											"Invulnerable"
		"DOTA_Tooltip_Ability_skill_ability_Invulnerability"				"Invulnerable"
		"DOTA_Tooltip_Ability_skill_ability_Invulnerability_Description"	"Protect the owner by the POWER OF GOD"
		"DOTA_Tooltip_Invulnerable_Description"								"Protect the owner by the POWER OF GOD"
		"DOTA_Tooltip_regeneration_modifier"                        		"Regeneration"
		"DOTA_Tooltip_regeneration_modifier_Description"            		"Healing over time."

		"DOTA_Tooltip_modifier_unselectable"                        		"Unselectable"
		"DOTA_Tooltip_modifier_unselectable_Description"            		""

		"DOTA_Tooltip_modifier_skill_rend_armor"                                          "Skill Rend Armor"
		"DOTA_Tooltip_modifier_skill_rend_armor_Description"                              ""

		"DOTA_Tooltip_dummy_unit"                                                         "Dummy Unit"
		"DOTA_Tooltip_dummy_unit_Description"                                             ""

		"DOTA_Tooltip_modifier_time_walk_slow_datadriven"                                 "Time Walk Slow Datadriven"
		"DOTA_Tooltip_modifier_time_walk_slow_datadriven_Description"                     ""

		"DOTA_Tooltip_modifier_lordofdeath_boss_dive"                                     "Lordofdeath Boss Dive"
		"DOTA_Tooltip_modifier_lordofdeath_boss_dive_Description"                         ""

		"DOTA_Tooltip_doom_miniboss_death_fx"                                             "Doom Miniboss Death Fx"
		"DOTA_Tooltip_doom_miniboss_death_fx_Description"                                 ""

		"DOTA_Tooltip_dummy_modifier"                                                     "Dummy Modifier"
		"DOTA_Tooltip_dummy_modifier_Description"                                         ""


		
		// ITEM MODIFIERS
		// ************************************************************************************************************************
		"DOTA_Tooltip_continuum_blade_crit"                                               "Continuum Blade Crit"
		"DOTA_Tooltip_continuum_blade_crit_Description"                                   ""

		"DOTA_Tooltip_hammer_of_zeus_bash"                                                "Hammer Of The Dajjal Bash"
		"DOTA_Tooltip_hammer_of_zeus_bash_Description"                                    ""

		"DOTA_Tooltip_hammer_of_zeus_aura"                                                "Hammer Of The Dajjal Aura"
		"DOTA_Tooltip_hammer_of_zeus_aura_Description"                                    ""

		"DOTA_Tooltip_modifier_potion_of_lesser_regeneration"                             "Potion Of Lesser Regeneration"
		"DOTA_Tooltip_modifier_potion_of_lesser_regeneration_Description"                 ""

		"DOTA_Tooltip_modifier_potion_of_regeneration"                                    "Potion Of Regeneration"
		"DOTA_Tooltip_modifier_potion_of_regeneration_Description"                        ""

		"DOTA_Tooltip_modifier_potion_of_greater_regeneration"                            "Potion Of Greater Regeneration"
		"DOTA_Tooltip_modifier_potion_of_greater_regeneration_Description"                ""

		"DOTA_Tooltip_modifier_potion_of_super_regeneration"                              "Potion Of Super Regeneration"
		"DOTA_Tooltip_modifier_potion_of_super_regeneration_Description"                  ""

		"DOTA_Tooltip_modifier_potion_of_mega_regeneration"                               "Potion Of Mega Regeneration"
		"DOTA_Tooltip_modifier_potion_of_mega_regeneration_Description"                   ""

		"DOTA_Tooltip_modifier_elixir_of_lesser_agility"                                  "Elixir Of Lesser Agility"
		"DOTA_Tooltip_modifier_elixir_of_lesser_agility_Description"                      ""

		"DOTA_Tooltip_modifier_elixir_of_lesser_intelligence"                             "Elixir Of Lesser Intelligence"
		"DOTA_Tooltip_modifier_elixir_of_lesser_intelligence_Description"                 ""

		"DOTA_Tooltip_modifier_elixir_of_lesser_strength"                                 "Elixir Of Lesser Strength"
		"DOTA_Tooltip_modifier_elixir_of_lesser_strength_Description"                     ""

		"DOTA_Tooltip_modifier_elixir_of_agility"                                         "Elixir Of Agility"
		"DOTA_Tooltip_modifier_elixir_of_agility_Description"                             ""

		"DOTA_Tooltip_modifier_elixir_of_intelligence"                                    "Elixir Of Intelligence"
		"DOTA_Tooltip_modifier_elixir_of_intelligence_Description"                        ""

		"DOTA_Tooltip_modifier_elixir_of_strength"                                        "Elixir Of Strength"
		"DOTA_Tooltip_modifier_elixir_of_strength_Description"                            ""

		"DOTA_Tooltip_modifier_elixir_of_greater_agility"                                 "Elixir Of Greater Agility"
		"DOTA_Tooltip_modifier_elixir_of_greater_agility_Description"                     ""

		"DOTA_Tooltip_modifier_elixir_of_greater_intelligence"                            "Elixir Of Greater Intelligence"
		"DOTA_Tooltip_modifier_elixir_of_greater_intelligence_Description"                ""

		"DOTA_Tooltip_modifier_elixir_of_greater_strength"                                "Elixir Of Greater Strength"
		"DOTA_Tooltip_modifier_elixir_of_greater_strength_Description"                    ""

		"DOTA_Tooltip_modifier_elixir_of_super_agility"                                   "Elixir Of Super Agility"
		"DOTA_Tooltip_modifier_elixir_of_super_agility_Description"                       ""

		"DOTA_Tooltip_modifier_elixir_of_super_intelligence"                              "Elixir Of Super Intelligence"
		"DOTA_Tooltip_modifier_elixir_of_super_intelligence_Description"                  ""

		"DOTA_Tooltip_modifier_elixir_of_super_strength"                                  "Elixir Of Super Strength"
		"DOTA_Tooltip_modifier_elixir_of_super_strength_Description"                      ""

		"DOTA_Tooltip_modifier_elixir_of_mega_agility"                                    "Elixir Of Mega Agility"
		"DOTA_Tooltip_modifier_elixir_of_mega_agility_Description"                        ""

		"DOTA_Tooltip_modifier_elixir_of_mega_intelligence"                               "Elixir Of Mega Intelligence"
		"DOTA_Tooltip_modifier_elixir_of_mega_intelligence_Description"                   ""

		"DOTA_Tooltip_modifier_elixir_of_mega_strength"                                   "Elixir Of Mega Strength"
		"DOTA_Tooltip_modifier_elixir_of_mega_strength_Description"                       ""

		"DOTA_Tooltip_modifier_scroll_of_speed"                                           "Scroll Of Speed"
		"DOTA_Tooltip_modifier_scroll_of_speed_Description"                               ""

		"DOTA_Tooltip_modifier_scroll_of_the_beast"                                       "Scroll Of The Beast"
		"DOTA_Tooltip_modifier_scroll_of_the_beast_Description"                           ""

		"DOTA_Tooltip_modifier_scroll_of_lesser_regeneration"                             "Scroll Of Lesser Regeneration"
		"DOTA_Tooltip_modifier_scroll_of_lesser_regeneration_Description"                 ""

		"DOTA_Tooltip_modifier_scroll_of_regeneration"                                    "Scroll Of Regeneration"
		"DOTA_Tooltip_modifier_scroll_of_regeneration_Description"                        ""

		"DOTA_Tooltip_modifier_scroll_of_greater_regeneration"                            "Scroll Of Greater Regeneration"
		"DOTA_Tooltip_modifier_scroll_of_greater_regeneration_Description"                ""

		"DOTA_Tooltip_modifier_scroll_of_super_regeneration"                              "Scroll Of Super Regeneration"
		"DOTA_Tooltip_modifier_scroll_of_super_regeneration_Description"                  ""

		"DOTA_Tooltip_modifier_scroll_of_protection"                                      "Scroll Of Protection"
		"DOTA_Tooltip_modifier_scroll_of_protection_Description"                          ""

		"DOTA_Tooltip_modifier_iron_will_of_hephaestus_absorb"                            "Iron Will Of Hephaestus Absorb"
		"DOTA_Tooltip_modifier_iron_will_of_hephaestus_absorb_Description"                ""

		"DOTA_Tooltip_armor_of_hephaestus_modifier"                                       "Armor Of Hephaestus Modifier"
		"DOTA_Tooltip_armor_of_hephaestus_modifier_Description"                           ""

		"DOTA_Tooltip_shield_of_athena_slow"                                              "Shield Of Athena Slow"
		"DOTA_Tooltip_shield_of_athena_slow_Description"                                  ""

		"DOTA_Tooltip_shield_of_athena_aura"                                              "Shield Of Athena Aura"
		"DOTA_Tooltip_shield_of_athena_aura_Description"                                  ""
		
		// Items
		// ************************************************************************************************************************
		"DOTA_Tooltip_ability_item_continuum_blade"                                       "Continuum Blade"
		"DOTA_Tooltip_ability_item_continuum_blade_Description"                           ""
		"DOTA_Tooltip_ability_item_continuum_blade_armor"                                 "ARMOR:"
		"DOTA_Tooltip_ability_item_continuum_blade_all_stats"                             "ALL STATS:"
		"DOTA_Tooltip_ability_item_continuum_blade_mana_regen"                            "MANA REGEN:"
		"DOTA_Tooltip_ability_item_continuum_blade_crit_chance"                           "CRIT CHANCE:"
		"DOTA_Tooltip_ability_item_continuum_blade_crit_bonus"                            "CRIT BONUS:"

		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal"                                  "Hammer Of The Dajjal"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_Description"                      "Dont Believe him...... Heaven his Hell and Hell his Heaven."
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_bonus_str_agi"                    "BONUS STR AGI:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_bonus_int"                        "BONUS INT:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_bonus_damage_aura"                "BONUS DAMAGE AURA:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_radius"                           "RADIUS:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_bash_chance"                      "BASH CHANCE:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_bash_damage"                      "BASH DAMAGE:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_bash_duration"                    "BASH DURATION:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_lightning_chance"                 "LIGHTNING CHANCE:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_lightning_damage"                 "LIGHTNING DAMAGE:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_lightning_bounces"                "LIGHTNING BOUNCES:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_lightning_decay"                  "LIGHTNING DECAY:"
		"DOTA_Tooltip_ability_item_hammer_of_the_dajjal_bounce_range"                     "BOUNCE RANGE:"

		"DOTA_Tooltip_ability_item_healthregen_modifier"                                  "Healthregen Modifier"
		"DOTA_Tooltip_ability_item_healthregen_modifier_Description"                      ""

		"DOTA_Tooltip_ability_item_iron_will_of_hephaestus_block_all"                     "BLOCK ALL:"

		"DOTA_Tooltip_ability_item_tachi_sword"                                           "Tachi Sword"
		"DOTA_Tooltip_ability_item_tachi_sword_Description"                               ""
		"DOTA_Tooltip_ability_item_tachi_sword_stat_bonus"                                "STAT BONUS:"
		"DOTA_Tooltip_ability_item_tachi_sword_dmg_bonus"                                 "DMG BONUS:"
		"DOTA_Tooltip_ability_item_tachi_sword_attack_speed"                              "ATTACK SPEED:"

		"DOTA_Tooltip_ability_item_towering_shield_of_athena"                             "Towering Shield Of Athena"
		"DOTA_Tooltip_ability_item_towering_shield_of_athena_Description"                 ""
		"DOTA_Tooltip_ability_item_towering_shield_of_athena_magic_resistance"            "MAGIC RESISTANCE:"
		"DOTA_Tooltip_ability_item_towering_shield_of_athena_bonus_armor_aura"            "BONUS ARMOR AURA:"
		"DOTA_Tooltip_ability_item_towering_shield_of_athena_radius"                      "RADIUS:"
		"DOTA_Tooltip_ability_item_towering_shield_of_athena_block_chance"                "BLOCK CHANCE:"
		"DOTA_Tooltip_ability_item_towering_shield_of_athena_damage_blocked"              "DAMAGE BLOCKED:"
